psechoice,hscath,hsrural,grades,faminc,famsiz,parsome,parcoll,female,asian,hispan,black,grants,loans
3,0,0,4.679999828,42.5,3,0,1,1,0,0,0,0,0
3,0,0,4.679999828,42.5,3,0,1,1,0,0,0,0,0
3,0,0,2.329999924,22.5,4,1,0,1,0,0,0,1,1
3,0,0,2.569999933,42.5,3,0,0,1,0,0,0,1,0
3,0,0,4.789999962,87.5,4,0,1,1,0,0,0,0,0
3,0,0,2.130000114,62.5,5,0,1,1,0,0,0,1,0
3,0,0,5.96999979,62.5,4,0,1,0,0,0,0,1,1
1,0,0,7.829999924,22.5,4,0,1,0,0,0,0,0,0
3,0,0,2.170000076,62.5,4,0,1,0,0,0,0,0,0
3,0,0,2.170000076,62.5,4,0,1,0,0,0,0,0,0
3,0,0,3.049999952,87.5,4,0,1,1,0,0,0,0,0
2,0,0,9.460000038,150,3,0,1,1,0,0,0,0,0
3,0,0,7.170000076,62.5,4,0,1,0,0,0,0,0,0
3,0,0,7.170000076,62.5,4,0,1,0,0,0,0,0,0
2,0,0,7.460000038,42.5,3,0,1,0,0,0,0,0,0
3,0,0,5.070000172,62.5,5,0,1,1,0,0,0,0,1
3,1,0,4.559999943,22.5,6,0,0,1,0,0,0,1,1
2,0,0,6.5,62.5,6,1,0,1,0,0,0,1,0
2,0,0,6.5,62.5,6,1,0,1,0,0,0,1,0
2,0,0,6.5,62.5,6,1,0,1,0,0,0,1,0
2,0,0,9.710000038,12.5,2,1,0,1,0,0,0,0,0
3,0,0,6.360000134,62.5,3,1,0,1,0,0,0,1,0
2,0,0,10.09000015,42.5,6,1,0,0,0,0,0,0,0
2,0,0,10.09000015,42.5,6,1,0,0,0,0,0,0,0
1,0,0,9.600000381,62.5,4,0,1,0,0,0,0,0,0
3,1,0,3.160000086,62.5,3,0,1,1,1,0,0,0,1
2,0,1,7.860000134,62.5,5,0,0,0,0,0,0,0,0
2,0,1,7.860000134,62.5,5,0,0,0,0,0,0,0,0
2,0,1,8.68999958,42.5,5,0,0,1,0,0,0,0,0
2,0,0,6.760000229,22.5,3,0,1,0,1,0,0,0,0
3,0,0,3.470000029,22.5,4,0,1,1,0,0,0,1,1
2,0,1,8.720000267,8.75,2,1,0,0,0,0,0,1,0
3,0,1,2.5,62.5,4,0,1,1,0,0,0,1,0
1,0,1,5.579999924,17.5,4,0,0,1,0,0,0,0,0
2,0,1,8,62.5,7,1,0,0,0,0,0,0,0
2,0,1,8,62.5,7,1,0,0,0,0,0,0,1
2,0,1,7.900000095,62.5,4,1,0,1,0,0,0,0,0
3,0,1,4.630000114,42.5,5,1,0,1,0,0,0,0,1
3,0,1,4.630000114,42.5,5,1,0,1,0,0,0,0,0
1,0,1,8.109999657,62.5,5,0,1,1,0,0,0,0,0
3,0,0,2.950000048,12.5,5,1,0,0,0,0,0,1,0
3,0,0,5.539999962,42.5,4,1,0,1,0,0,0,1,1
1,0,0,8.920000076,62.5,4,0,0,1,0,0,0,0,0
3,0,0,7.789999962,30,3,1,0,0,0,1,0,1,1
2,0,0,2.779999971,42.5,5,1,0,1,0,0,0,0,0
2,0,0,2.779999971,42.5,5,1,0,1,0,0,0,1,0
2,0,0,7.289999962,30,5,1,0,1,0,0,0,0,0
2,0,0,9.550000191,42.5,4,0,0,0,0,0,0,0,0
3,0,0,10.27000046,42.5,5,1,0,0,0,0,0,1,1
3,0,0,4.96999979,30,4,0,0,1,0,0,0,0,0
3,0,0,4.96999979,30,4,0,0,1,0,0,0,0,0
1,0,0,7.260000229,42.5,5,1,0,1,0,0,0,0,0
3,0,0,6.579999924,87.5,3,1,0,1,0,0,0,0,0
2,0,0,8.449999809,30,3,1,0,1,0,0,0,0,0
2,0,0,8.449999809,30,3,1,0,1,0,0,0,0,0
3,0,0,4.380000114,22.5,3,0,1,0,0,0,0,1,1
3,0,0,3.900000095,150,4,1,0,0,1,0,0,0,0
3,0,0,5.460000038,62.5,4,0,1,1,1,0,0,0,0
3,0,0,3.910000086,42.5,4,0,1,0,0,0,1,1,0
3,0,0,5.130000114,62.5,5,1,0,1,0,0,1,0,1
3,0,0,5.130000114,62.5,5,1,0,1,0,0,1,0,1
2,0,0,7.630000114,30,4,0,0,1,0,0,0,0,0
2,0,0,9.449999809,62.5,5,1,0,0,0,0,0,0,0
3,0,0,7.789999962,62.5,3,0,1,0,0,0,0,0,1
2,0,0,5.199999809,42.5,5,1,0,1,0,0,0,0,0
3,0,0,3.910000086,87.5,8,0,1,0,0,0,0,1,0
3,0,0,8.68999958,42.5,5,1,0,0,1,0,0,0,0
3,0,0,7.710000038,42.5,8,0,1,1,0,0,0,1,1
3,0,0,3.569999933,42.5,3,0,0,0,0,0,0,0,0
2,0,0,8.239999771,30,5,0,0,1,0,0,0,0,1
3,0,0,1.850000024,87.5,4,0,1,1,1,0,0,0,0
1,0,1,6.28000021,62.5,4,1,0,0,0,0,0,0,0
1,0,0,6.139999866,42.5,6,0,0,1,0,0,0,0,0
1,0,1,6.079999924,22.5,3,0,0,0,0,0,0,0,0
2,0,0,5.179999828,62.5,6,0,1,1,0,0,0,1,0
2,0,0,3.440000057,22.5,4,0,0,1,0,0,0,1,0
1,0,0,8.25,30,3,0,0,1,0,0,0,0,0
1,0,0,8.119999886,17.5,3,0,0,1,0,0,0,0,0
1,0,0,11.06000042,22.5,3,0,0,0,0,0,0,0,0
3,0,0,3.74000001,42.5,5,1,0,0,0,0,0,1,1
2,0,0,2.589999914,22.5,2,0,1,1,0,0,0,1,0
2,0,0,6.079999924,42.5,4,0,0,1,0,0,0,0,0
1,0,0,9.489999771,42.5,3,1,0,0,0,0,0,0,0
3,0,0,4.380000114,62.5,4,0,1,0,1,0,0,0,1
2,0,0,4.289999962,150,4,0,1,0,0,0,0,0,0
2,0,0,4.289999962,150,4,0,1,0,0,0,0,0,0
3,0,0,3.309999943,150,5,0,1,0,0,0,0,0,0
2,0,0,5.110000134,87.5,3,0,1,1,0,0,0,0,0
2,0,0,5.110000134,87.5,3,0,1,1,0,0,0,0,0
2,0,0,8.140000343,62.5,4,1,0,1,0,0,0,0,0
3,0,0,7.050000191,87.5,3,0,1,0,0,0,0,0,0
1,0,0,9.210000038,87.5,3,0,1,0,0,0,0,0,0
3,0,0,7,17.5,4,1,0,1,0,0,0,1,1
3,0,0,7,17.5,4,1,0,1,0,0,0,0,0
3,0,0,5.53000021,42.5,5,1,0,1,0,0,0,0,0
1,0,0,3.25,62.5,5,0,0,0,0,0,0,0,0
3,0,0,2.470000029,62.5,5,0,1,1,1,0,0,0,1
2,0,0,4.630000114,62.5,3,0,1,1,0,0,0,1,0
3,0,0,5.079999924,30,4,0,0,1,0,0,0,1,1
2,0,0,8.899999619,17.5,4,1,0,0,0,0,0,1,0
2,0,0,8.899999619,17.5,4,1,0,0,0,0,0,1,0
1,0,0,9.81000042,17.5,4,0,0,0,0,0,0,0,0
3,0,0,7.179999828,62.5,3,0,0,0,0,0,0,1,0
2,0,0,8.579999924,30,4,1,0,0,0,0,0,0,0
1,0,0,11.02999973,30,5,1,0,0,0,0,0,0,0
2,0,0,8.380000114,42.5,4,0,1,1,0,0,0,1,1
3,0,0,3.730000019,42.5,6,1,0,1,0,0,0,1,0
2,0,0,8.079999924,42.5,5,1,0,0,0,0,0,0,0
2,0,0,7.179999828,30,4,1,0,1,0,0,0,0,0
2,0,0,7.179999828,30,4,1,0,1,0,0,0,0,1
2,0,0,8.460000038,17.5,2,1,0,1,0,0,0,0,0
3,0,0,2.5,42.5,4,0,1,1,1,0,0,1,0
3,0,0,5.449999809,87.5,4,0,1,0,0,0,0,0,0
3,0,0,5.449999809,87.5,4,0,1,0,0,0,0,0,0
3,0,0,5.800000191,42.5,7,0,1,1,0,0,0,0,0
3,0,0,2.670000076,42.5,3,0,1,0,0,0,0,1,1
1,0,0,8.199999809,30,3,0,0,1,0,0,0,0,0
1,0,0,9.170000076,62.5,6,0,1,1,0,0,0,0,0
3,0,0,8,62.5,5,1,0,0,0,0,0,0,0
3,0,0,8,62.5,5,1,0,0,0,0,0,0,0
3,0,0,10.77999973,30,4,1,0,0,0,0,0,1,0
3,0,0,5.5,87.5,3,1,0,1,0,0,0,0,0
3,0,0,2.75,87.5,3,0,1,1,0,0,0,0,1
2,0,0,5.829999924,42.5,4,0,0,1,0,0,0,1,1
3,0,1,2.720000029,30,4,0,0,1,0,0,0,1,0
3,0,1,5.21999979,17.5,4,0,0,1,0,0,0,0,0
3,0,1,3.720000029,42.5,5,0,1,0,0,0,0,0,1
1,0,1,7.159999847,30,4,0,0,0,0,0,0,0,0
3,0,1,5.449999809,42.5,4,1,0,1,0,0,0,1,1
1,0,1,8.270000458,62.5,7,0,1,0,0,0,0,0,0
2,0,1,7.989999771,30,4,0,0,0,0,0,0,1,1
1,0,1,10.47000027,8.75,2,0,0,0,0,0,0,0,0
2,0,1,8.119999886,12.5,1,0,0,0,0,0,0,1,1
1,0,0,8.880000114,2,3,1,0,0,0,0,1,0,0
2,0,0,7.860000134,42.5,5,1,0,0,0,0,1,1,0
1,0,0,9.760000229,12.5,4,0,0,0,0,0,1,0,0
3,0,0,6.460000038,42.5,4,0,1,0,0,0,0,1,1
3,0,0,6.460000038,42.5,4,0,1,0,0,0,0,0,0
3,0,1,3.880000114,87.5,4,0,1,1,0,0,0,1,0
1,0,1,10.47999954,30,3,0,0,1,0,0,0,0,0
1,0,1,8.479999542,62.5,3,0,0,0,0,0,0,0,0
2,0,1,9.100000381,62.5,5,0,0,1,0,0,0,1,0
3,0,1,6.440000057,30,5,1,0,1,0,0,0,0,0
1,0,1,8.920000076,17.5,3,0,0,0,0,0,0,0,0
2,0,1,7.579999924,30,4,0,0,1,0,0,0,0,0
3,0,1,6.320000172,30,6,1,0,1,0,0,0,1,1
3,0,1,7,12.5,5,1,0,0,0,0,0,1,0
3,0,1,7,12.5,5,1,0,0,0,0,0,1,0
3,0,1,7.829999924,62.5,4,1,0,1,0,0,0,0,1
1,0,1,9.210000038,2,4,0,0,0,0,0,0,0,0
3,0,1,3.670000076,30,8,1,0,1,0,0,0,1,1
3,0,0,5.150000095,42.5,4,1,0,1,0,0,1,1,1
3,0,0,7.03000021,17.5,4,0,0,1,0,0,0,0,0
1,0,0,8.289999962,30,3,0,1,1,0,0,0,0,0
3,0,0,8.460000038,62.5,6,0,1,1,0,0,0,0,0
3,0,0,8.039999962,62.5,4,0,1,0,0,0,0,1,0
3,0,0,8.039999962,62.5,4,0,1,0,0,0,0,1,1
3,0,0,8.029999733,30,4,0,0,0,0,0,0,1,1
1,0,1,10.85999966,22.5,4,1,0,0,0,0,0,0,0
1,0,1,6.710000038,42.5,5,1,0,1,0,0,0,0,0
3,0,1,7.25,42.5,4,1,0,0,0,0,0,1,1
3,0,1,3.579999924,42.5,4,1,0,1,0,0,0,0,0
3,0,1,3.579999924,42.5,4,1,0,1,0,0,0,0,0
3,0,1,3.579999924,42.5,4,1,0,1,0,0,0,0,0
3,0,1,4.320000172,250,4,0,1,0,1,0,0,0,0
1,0,1,6.300000191,42.5,4,1,0,0,0,0,0,0,0
3,0,1,4.019999981,12.5,3,1,0,0,0,0,0,1,1
3,0,1,5.610000134,8.75,3,1,0,0,0,0,0,1,1
2,0,1,8.159999847,62.5,3,0,1,1,0,0,0,0,0
1,0,1,9.170000076,42.5,3,0,0,1,0,0,0,0,0
1,0,1,7.820000172,62.5,5,1,0,0,0,0,0,0,0
3,0,1,4.309999943,62.5,2,0,0,0,0,0,0,0,1
1,0,1,7.880000114,30,2,0,0,0,0,0,0,0,0
1,0,1,9.090000153,17.5,5,0,0,1,0,0,0,0,0
2,0,1,2.130000114,8.75,2,0,0,1,0,0,0,1,0
2,0,1,5.5,22.5,4,1,0,0,0,0,0,1,0
2,0,1,5.03000021,42.5,7,1,0,0,0,0,0,1,0
2,0,1,4.360000134,30,5,1,0,0,0,0,0,1,0
2,0,1,4.880000114,42.5,5,1,0,1,0,0,0,1,0
2,0,1,8.949999809,30,5,1,0,1,0,0,0,0,0
2,0,1,4.25,12.5,6,0,0,1,0,0,0,1,0
2,0,1,6.789999962,62.5,5,0,1,1,0,0,0,0,0
2,0,1,4.670000076,42.5,5,1,0,1,0,0,0,1,0
2,0,1,7.789999962,42.5,3,0,1,0,1,0,0,0,0
1,0,1,5.460000038,22.5,4,1,0,0,0,0,0,0,0
2,0,1,7.5,42.5,4,1,0,0,0,0,0,0,0
1,0,1,6.199999809,8.75,3,1,0,1,0,0,0,0,0
3,0,1,4.380000114,62.5,6,0,1,0,0,0,0,1,0
2,0,1,6.289999962,42.5,5,0,1,0,0,0,0,0,0
1,0,1,5.239999771,17.5,6,0,0,0,0,0,0,0,0
1,0,1,5.349999905,6.25,5,0,0,0,0,0,0,0,0
2,0,0,9.81000042,22.5,2,1,0,0,0,0,0,0,1
3,0,0,3.829999924,62.5,4,0,1,1,0,0,0,1,1
2,0,0,8.590000153,8.75,6,1,0,0,1,0,0,0,0
1,0,0,6.5,6.25,4,0,0,1,0,0,0,0,0
3,0,0,3.910000086,30,3,0,1,0,0,0,0,1,1
2,0,0,3.089999914,12.5,4,1,0,1,1,0,0,1,0
1,0,0,10.22999954,42.5,4,0,1,0,0,0,0,0,0
2,0,0,6.5,42.5,4,1,0,1,0,0,0,0,1
2,0,0,5.409999847,42.5,5,0,0,0,0,0,0,1,0
1,0,0,6.929999828,30,4,0,0,1,0,0,0,0,0
2,0,0,5,42.5,4,1,0,0,0,0,0,0,0
3,0,0,5.670000076,30,5,1,0,0,0,0,0,1,1
1,0,0,8.43999958,12.5,7,0,1,0,0,0,0,0,0
3,0,0,6.949999809,62.5,5,1,0,0,0,0,0,1,1
1,0,0,7.050000191,62.5,3,0,1,1,0,0,0,0,0
3,0,0,7.46999979,150,4,0,1,0,0,0,0,0,0
3,0,0,5.400000095,42.5,5,0,1,0,0,0,0,1,1
3,0,0,5.5,22.5,3,0,0,1,0,0,0,1,1
2,0,0,5.050000191,62.5,4,0,1,1,0,0,0,0,0
3,0,0,8.260000229,12.5,3,0,0,0,0,0,0,1,1
3,0,0,8.260000229,12.5,3,0,0,0,0,0,0,0,0
2,0,0,6.670000076,62.5,8,0,1,0,0,0,0,0,0
2,0,0,4.619999886,42.5,2,1,0,1,0,0,0,1,0
1,0,0,8.56000042,42.5,5,0,0,0,0,0,0,0,0
2,0,0,4.699999809,17.5,1,0,0,0,1,0,0,1,0
2,0,0,6.900000095,30,6,0,0,1,0,0,0,0,0
1,0,0,7.389999866,62.5,3,0,0,0,0,0,0,0,0
3,0,0,2.829999924,42.5,3,0,1,1,0,0,0,1,1
1,0,0,8.449999809,42.5,5,0,0,0,0,0,0,0,0
1,0,0,8.640000343,150,4,0,0,0,0,0,0,0,0
3,0,1,5,62.5,4,1,0,1,1,0,0,0,0
3,0,1,2.809999943,42.5,3,0,0,0,0,0,0,0,1
1,0,1,7.170000076,17.5,4,0,0,1,0,0,0,0,0
3,0,1,7.670000076,30,4,0,0,0,0,0,0,0,0
3,0,1,4.559999943,8.75,3,1,0,1,0,0,0,0,0
3,0,1,4.96999979,62.5,4,0,1,0,0,0,0,0,0
2,0,1,7.559999943,6.25,3,1,0,1,0,0,0,1,0
1,0,0,7.670000076,8.75,5,0,0,1,0,0,1,0,0
3,0,1,5.900000095,42.5,3,1,0,0,0,0,0,1,1
1,0,1,6.949999809,22.5,4,0,0,1,0,0,0,0,0
3,0,1,5.840000153,30,6,1,0,1,0,0,0,0,0
3,0,1,5.840000153,30,6,1,0,1,0,0,0,0,0
2,0,1,4,12.5,5,0,0,1,0,0,0,1,1
2,0,1,6.599999905,30,4,0,0,1,0,0,0,0,0
1,0,1,8.600000381,30,4,0,0,0,0,0,0,0,0
3,0,1,2,42.5,4,0,0,0,0,0,0,1,0
3,0,1,2,42.5,4,0,0,0,0,0,0,1,0
2,0,1,2.710000038,8.75,2,1,0,1,0,0,0,0,0
2,0,1,2.710000038,8.75,2,1,0,1,0,0,0,1,1
1,0,1,3.440000057,30,5,1,0,0,0,0,0,0,0
2,0,1,7.960000038,17.5,2,1,0,0,0,0,0,1,0
2,0,1,7.960000038,17.5,2,1,0,0,0,0,0,1,0
3,0,1,3.430000067,30,5,1,0,1,0,0,0,1,1
1,0,1,10.11999989,30,4,0,0,0,0,0,0,0,0
3,0,1,2.039999962,30,4,0,1,0,0,0,0,0,0
3,0,1,5.949999809,30,4,1,0,0,1,0,0,0,1
1,0,1,6.179999828,22.5,4,0,0,1,0,1,0,0,0
3,0,1,2.539999962,87.5,3,0,1,0,0,0,0,1,0
1,0,1,6.980000019,17.5,4,1,0,1,0,0,0,0,0
3,0,1,3.789999962,30,4,0,0,1,0,0,0,1,1
1,0,1,9.859999657,42.5,6,0,0,0,0,0,0,0,0
1,0,1,6.829999924,30,4,1,0,0,0,0,0,0,0
3,0,0,3.069999933,42.5,6,0,1,1,0,0,0,1,1
2,0,0,5.409999847,62.5,3,1,0,0,0,0,0,0,0
1,0,0,11.31000042,30,3,0,0,0,0,0,0,0,0
3,0,0,2.170000076,42.5,3,0,1,1,0,0,0,0,0
3,0,0,2.670000076,42.5,5,0,0,0,0,0,0,0,1
3,0,0,9.81000042,22.5,7,0,0,1,0,1,0,0,0
3,0,0,8.090000153,62.5,5,1,0,0,0,0,0,0,0
3,0,0,8.090000153,62.5,5,1,0,0,0,0,0,0,0
2,0,0,7.860000134,12.5,4,1,0,1,0,0,1,1,0
3,0,0,5.130000114,62.5,4,1,0,0,0,0,0,0,0
3,0,0,5.130000114,62.5,4,1,0,0,0,0,0,0,0
3,0,0,7.849999905,30,4,1,0,0,0,0,1,1,0
3,0,0,7.849999905,30,4,1,0,0,0,0,1,0,0
3,0,0,3.430000067,87.5,5,0,1,1,0,0,1,1,0
3,0,0,5.329999924,42.5,2,1,0,1,0,0,1,1,0
3,0,0,5.5,62.5,3,0,0,1,0,0,1,1,0
3,0,0,7.480000019,42.5,4,1,0,1,0,0,1,1,1
3,0,0,5.880000114,12.5,2,1,0,1,0,0,1,1,1
2,0,1,11,12.5,4,1,0,0,0,0,0,0,0
3,0,1,6.5,150,4,0,1,0,0,0,0,1,1
3,0,1,6.5,150,4,0,1,0,0,0,0,1,1
3,0,1,9.270000458,42.5,5,1,0,1,0,0,0,0,0
3,0,1,9.270000458,42.5,5,1,0,1,0,0,0,0,0
1,0,1,7.260000229,30,4,0,0,0,0,0,0,0,0
3,0,1,10.30000019,62.5,4,1,0,0,0,0,0,0,0
3,0,1,8.510000229,30,5,1,0,1,0,0,0,0,0
3,0,1,9.920000076,30,5,0,1,0,0,0,0,0,0
3,0,1,4.699999809,42.5,4,1,0,1,0,0,0,1,0
2,0,0,9.539999962,22.5,7,1,0,0,0,0,1,1,0
2,0,0,9.880000114,8.75,4,0,0,1,0,0,1,1,0
2,0,0,5.320000172,30,4,1,0,1,0,0,0,0,0
3,0,0,3.599999905,12.5,4,1,0,1,1,0,0,1,1
2,0,0,9.18999958,22.5,3,1,0,0,0,0,1,0,0
3,0,1,3.630000114,8.75,3,1,0,1,0,0,0,1,1
3,0,1,3.630000114,8.75,3,1,0,1,0,0,0,1,0
3,0,1,3.630000114,8.75,3,1,0,1,0,0,0,0,0
3,0,1,4.380000114,12.5,6,1,0,1,0,0,0,1,1
2,0,1,7.139999866,12.5,3,0,0,0,0,0,0,1,1
1,0,1,7.880000114,30,6,1,0,1,0,0,0,0,0
3,0,1,6.130000114,30,4,1,0,1,0,0,0,1,1
2,0,1,7.909999847,62.5,3,1,0,1,0,0,0,0,0
2,0,1,7.909999847,62.5,3,1,0,1,0,0,0,0,0
1,0,1,5.849999905,8.75,3,0,0,1,0,0,0,0,0
2,0,1,7.920000076,30,4,0,0,1,0,0,0,0,0
2,0,1,7.5,42.5,4,1,0,1,0,0,0,0,0
3,0,1,8.68999958,42.5,4,1,0,1,0,0,0,1,1
3,0,1,5.429999828,6.25,4,0,0,1,0,0,0,0,1
1,0,1,11.11999989,8.75,6,0,0,0,0,0,0,0,0
3,0,1,5.920000076,62.5,5,1,0,1,0,0,0,1,0
3,0,1,2.970000029,42.5,4,0,1,0,0,0,0,1,0
3,0,1,5.079999924,42.5,4,0,0,0,0,0,0,0,0
3,0,1,6.059999943,87.5,3,0,0,1,0,0,0,1,0
3,0,1,7.920000076,42.5,4,0,0,1,0,0,0,1,0
2,0,1,5.940000057,30,3,1,0,0,0,0,0,1,0
2,0,1,5.940000057,30,3,1,0,0,0,0,0,1,0
1,0,1,6.420000076,17.5,4,0,0,1,0,0,0,0,0
3,0,1,7.360000134,62.5,6,0,1,1,0,0,0,0,0
3,0,1,7.360000134,62.5,6,0,1,1,0,0,0,0,0
3,0,1,6.96999979,42.5,5,0,0,0,0,0,0,1,0
1,0,1,8,22.5,4,0,0,1,0,0,0,0,0
3,0,1,6.329999924,30,5,0,0,0,0,0,0,1,1
1,0,0,6.880000114,4,2,1,0,1,0,1,0,0,0
3,0,0,4.630000114,17.5,4,1,0,1,0,1,0,1,0
3,0,0,4.630000114,17.5,4,1,0,1,0,1,0,0,0
1,0,0,8.829999924,42.5,4,0,1,0,0,0,1,0,0
3,0,0,5.119999886,62.5,3,0,1,0,0,0,0,0,0
3,0,0,4.210000038,22.5,4,0,0,1,0,1,0,1,0
1,0,0,8.079999924,17.5,3,1,0,0,0,0,0,0,0
1,0,0,7.710000038,8.75,4,1,0,0,0,0,0,0,0
2,0,0,9.210000038,42.5,4,0,0,1,0,0,0,0,0
2,0,0,8.020000458,22.5,5,1,0,1,0,0,0,1,0
3,0,0,9.630000114,62.5,5,1,0,0,0,0,0,0,0
3,0,0,9.630000114,62.5,5,1,0,0,0,0,0,0,0
2,0,0,9.670000076,87.5,5,1,0,1,0,0,0,0,0
2,0,0,9.279999733,62.5,3,1,0,0,0,0,0,1,0
3,0,0,9.119999886,42.5,5,1,0,1,0,0,0,0,0
2,0,0,10.06000042,62.5,4,1,0,0,0,0,0,0,0
2,0,0,10.06000042,62.5,4,1,0,0,0,0,0,0,0
1,0,0,8.579999924,62.5,4,0,0,0,0,0,0,0,0
1,0,0,9.859999657,87.5,5,1,0,0,0,1,0,0,0
3,0,0,3.380000114,62.5,6,0,1,0,0,0,0,0,0
1,0,0,10.26000023,42.5,4,0,0,0,0,0,0,0,0
3,0,0,5.03000021,42.5,5,1,0,0,0,0,0,0,1
3,0,0,4.769999981,62.5,5,1,0,0,0,0,0,0,0
1,0,0,9.569999695,62.5,5,0,0,1,0,0,0,0,0
3,0,0,3.730000019,42.5,4,1,0,0,0,0,0,0,1
3,0,0,5.400000095,42.5,6,1,0,0,0,0,0,0,1
3,0,0,9.619999886,30,4,1,0,0,0,0,0,0,1
3,0,0,9.050000191,42.5,3,1,0,0,0,0,0,0,0
3,0,0,5.429999828,62.5,5,0,1,1,0,0,0,1,0
3,0,0,2.329999924,62.5,4,1,0,0,1,0,0,1,0
3,1,0,7,250,3,0,1,0,0,0,0,0,0
3,0,0,7.010000229,30,6,0,1,1,1,0,0,1,0
3,0,0,7.010000229,30,6,0,1,1,1,0,0,0,0
1,0,0,11.31000042,12.5,5,0,0,0,0,0,1,0,0
3,0,0,3.789999962,42.5,4,0,1,0,0,0,0,0,1
3,0,0,2.329999924,62.5,4,0,1,1,0,0,0,1,0
1,0,0,7.5,17.5,8,0,0,0,0,1,0,0,0
3,1,0,7.889999866,150,4,0,1,0,0,0,0,0,0
2,0,0,7.960000038,17.5,4,1,0,1,0,0,0,0,0
1,0,0,7.949999809,30,3,1,0,0,0,0,0,0,0
1,0,0,10.68000031,22.5,2,1,0,0,0,0,0,0,0
2,0,0,10.25,42.5,6,1,0,1,0,1,0,0,0
1,0,0,9.270000458,42.5,4,0,0,0,0,0,0,0,0
3,0,0,3.099999905,30,3,1,0,0,0,0,1,1,1
1,0,0,10.32999992,17.5,3,1,0,0,0,0,1,0,0
2,0,0,4.5,87.5,6,0,1,1,0,0,0,0,0
2,0,0,6.960000038,150,6,0,1,1,0,0,0,0,0
2,0,0,6.960000038,150,6,0,1,1,0,0,0,1,0
1,0,0,9.170000076,62.5,4,1,0,0,0,0,0,0,0
2,0,0,9.600000381,87.5,6,1,0,0,0,0,0,0,0
