inlf,hours,kidslt6,kidsge6,age,educ,wage,repwage,hushrs,husage,huseduc,huswage,faminc,mtr,motheduc,fatheduc,unem,city,exper,nwifeinc,lwage,expersq
1,419,0,4,41,12,11.933,6.3,2125,44,12,3.2,11950,0.752,7,7,5,1,12,7,2.479 ,144
1,1880,0,0,36,8,3.593,3.75,1985,37,12,5.879,19175,0.692,12,12,7.5,0,12,12,1.279 ,144
1,72,0,2,46,17,6.944,0,2640,48,17,6.25,17900,0.692,12,16,7.5,0,14,17,1.938 ,196
1,120,0,0,34,12,2.917,0,2070,51,8,7.488,15850,0.721,12,7,5,1,11,16,1.070 ,121
1,1885,0,3,41,12,3.077,2.9,2107,48,8,6.977,27017,0.692,7,7,5,1,9,21,1.124 ,81
1,240,0,1,51,12,3.75,0,2250,54,10,8,18900,0.692,12,7,5,0,24,18,1.322 ,576
1,1729,0,0,33,12,5.726,4.76,2880,34,16,4.132,21800,0.692,12,12,7.5,1,12,12,1.745 ,144
1,1850,0,0,52,12,3.676,3.4,1848,53,12,14.476,33552,0.552,10,10,7.5,1,13,27,1.302 ,169
1,2033,0,0,58,9,5.165,4.32,1927,53,7,5.734,22650,0.661,7,9,7.5,1,29,12,1.642 ,841
1,608,2,4,34,10,8.224,3,1304,38,9,3.374,15200,0.791,0,0,7.5,1,11,10,2.107 ,121
1,1153,0,1,31,12,4.337,4.52,3000,35,12,1.833,13120,0.721,7,10,7.5,1,13,8,1.467 ,169
1,2208,0,1,48,12,4.982,5.31,1892,52,12,5.602,21660,0.661,12,14,5,1,19,11,1.606 ,361
1,252,0,2,32,12,0.357,0,3644,32,12,4.298,18190,0.721,7,7,3,0,2,18,-1.030 ,4
1,337,0,0,49,17,2.967,0,1430,47,17,3.916,9600,0.752,3,3,14,1,24,9,1.088 ,576
1,90,2,2,32,15,1,0,2350,31,14,4.879,13755,0.752,10,12,7.5,1,9,14,0.000 ,81
1,1174,0,0,58,12,2.555,4.87,1948,59,16,9.24,35350,0.661,7,12,7.5,1,6,32,0.938 ,36
1,372,0,0,50,6,0.86,2.25,1804,42,12,6.652,12405,0.721,12,7,7.5,1,22,12,-0.151 ,484
1,30,0,0,60,14,1,0,2326,51,12,4.622,12180,0.752,12,17,9.5,0,30,12,0.000 ,900
1,1800,0,1,50,12,2.926,0,1739,55,11,9.974,22962,0.661,7,3,7.5,1,10,18,1.074 ,100
1,282,0,0,56,14,3.546,2.5,1176,57,17,20.918,25700,0.622,7,7,9.5,1,6,25,1.266 ,36
1,720,0,0,51,9,1.626,2.2,1100,55,8,1.94,3305,0.791,7,7,3,0,29,2,0.486 ,841
1,1440,0,1,54,17,8.333,6,1528,58,17,8.835,32950,0.581,7,12,5,1,29,21,2.120 ,841
1,2100,0,0,59,13,3.095,2.95,2250,52,15,4.667,17000,0.692,7,7,5,1,36,11,1.130 ,1296
1,1000,0,2,46,9,2.7,2.35,1927,47,10,5.189,13250,0.752,7,7,5,1,19,11,0.993 ,361
1,952,0,1,46,15,5.252,0,2414,47,16,18.724,50750,0.442,7,12,5,1,8,46,1.659 ,64
1,1413,1,3,39,12,1.415,2.2,768,49,8,10.417,15632,0.771,10,10,14,0,13,14,0.347 ,169
1,2100,0,2,44,12,4.799,4.85,1984,43,14,8.846,28316,0.622,7,0,11,1,16,18,1.568 ,256
1,120,2,0,33,12,1.667,2.37,2246,36,12,7.569,17290,0.721,12,12,9.5,1,11,17,0.511 ,121
1,3000,1,2,33,12,1.122,0,3024,30,17,4.451,33600,0.622,10,10,7.5,1,15,30,0.115 ,225
1,1000,0,2,48,12,0.5,0,2921,52,12,9.32,29200,0.622,12,7,9,1,6,29,-0.693 ,36
1,336,0,4,31,12,0.714,0,2045,37,17,9.169,19870,0.692,7,7,11,0,13,20,-0.336 ,169
1,1216,0,1,45,12,2.796,2.9,1928,44,12,6.483,16225,0.721,7,7,11,0,22,13,1.028 ,484
1,988,0,1,45,12,4.858,4.5,1920,44,10,7.813,28600,0.692,7,3,5,1,24,24,1.581 ,576
1,2581,0,2,32,13,1.743,2.6,2280,37,17,11.404,30800,0.581,14,12,7.5,1,2,26,0.556 ,4
1,2030,0,0,47,12,2.463,2.8,2300,47,17,5.087,25700,0.692,7,7,3,0,6,21,0.901 ,36
1,413,0,2,34,13,2.421,3,2480,35,13,6.976,27000,0.622,12,12,3,0,2,26,0.884 ,4
1,782,0,1,37,12,1.535,2.3,1135,34,10,5.286,12077,0.771,12,7,9.5,1,2,11,0.428 ,4
1,1388,0,1,36,12,2.882,1.87,1384,39,12,11.562,29612,0.661,7,7,11,0,14,26,1.058 ,196
1,1450,1,2,47,12,2.407,3,1848,50,14,8.606,24479,0.692,7,10,9.5,1,9,21,0.878 ,81
1,1720,0,1,48,16,5.233,4.68,2499,46,17,12.805,79750,0.442,14,14,7.5,1,11,71,1.655 ,121
1,800,0,2,42,12,3.75,2.5,2390,43,12,6.695,20050,0.692,12,7,11,0,9,17,1.322 ,81
1,360,0,3,33,13,1.389,0,2400,44,14,8.333,21500,0.692,10,12,11,1,6,21,0.329 ,36
1,2000,0,0,46,11,4,4.61,1920,53,8,4.167,16120,0.692,7,7,5,0,19,8,1.386 ,361
1,1176,0,3,47,12,3.231,3.35,2301,48,13,5.476,24686,0.721,7,7,9.5,0,26,21,1.173 ,676
1,2058,0,1,44,12,3.401,3.8,1944,43,10,5.144,24669,0.692,7,10,9.5,1,19,18,1.224 ,361
1,900,0,4,36,12,1.333,2.2,2100,37,17,11.667,26400,0.661,7,7,7.5,1,3,25,0.288 ,9
1,215,2,0,31,17,9.302,9.98,1920,32,16,7.292,16245,0.721,12,12,7.5,1,7,14,2.230 ,49
1,2000,0,0,55,14,4.5,4.37,2880,55,14,4.861,23300,0.661,7,7,9.5,1,28,14,1.504 ,784
1,757,0,1,45,16,4.623,4.5,1932,48,16,12.164,27200,0.622,12,7,9.5,1,13,24,1.531 ,169
1,1264,0,0,47,17,3.956,0,3234,48,17,10.823,51000,0.461,10,17,9.5,1,9,46,1.375 ,81
1,2064,0,3,46,12,5.814,6,2805,47,12,12.478,55000,0.461,10,7,14,1,15,43,1.760 ,225
1,1280,0,0,49,11,0.5,0,2272,52,9,6.162,15389,0.721,7,7,7.5,1,20,15,-0.693 ,400
1,1715,0,0,49,12,4.082,3.75,2227,52,14,7.185,23150,0.661,7,7,9.5,1,29,16,1.406 ,841
1,2000,0,2,45,12,6,4.95,1720,49,6,7.093,29774,0.622,7,10,14,1,9,18,1.792 ,81
1,12,1,3,38,17,3.667,0,2300,38,13,17.826,91044,0.442,12,10,14,1,1,91,1.299 ,1
1,1528,0,0,47,10,3.861,2.95,3410,50,12,6.393,28200,0.581,7,12,14,1,8,22,1.351 ,64
1,561,0,3,54,13,2.763,2.53,2304,57,16,11.719,36150,0.552,7,7,9.5,1,19,35,1.016 ,361
1,2058,0,0,41,11,2.931,2.9,1984,42,12,4.788,15652,0.721,12,12,7.5,0,23,10,1.075 ,529
1,1823,0,2,43,12,4.388,4.2,1890,33,14,4.233,18900,0.752,14,7,11,0,3,11,1.479 ,9
1,1680,1,1,31,16,5.417,4.7,1970,32,12,7.107,23600,0.661,12,10,7.5,0,13,14,1.689 ,169
1,1440,0,0,47,17,9.861,7.1,2400,46,12,8.333,36200,0.61,7,7,7.5,1,8,22,2.289 ,64
1,4950,0,2,35,12,0.162,2.75,2504,37,12,6.989,18700,0.692,10,10,7.5,0,17,18,-1.823 ,289
1,1176,0,3,45,16,0.383,3.75,2398,48,17,9.591,24125,0.661,7,7,11,1,4,24,-0.961 ,16
1,1100,1,0,33,12,3.636,3.58,1960,39,12,6.02,15800,0.721,7,7,7.5,0,15,12,1.291 ,225
1,1516,0,1,54,16,2.375,2.4,2550,55,12,2.969,19742,0.721,12,7,3,0,11,16,0.865 ,121
1,900,0,4,35,8,4.667,3.95,2500,41,12,7,22600,0.692,10,7,9.5,0,7,18,1.540 ,49
1,1080,1,2,31,12,1.852,2.25,2164,37,10,7.163,17500,0.721,7,7,7.5,0,0,15,0.616 ,0
1,480,0,0,55,12,5.2,0,2640,60,12,4.736,19820,0.692,7,7,7.5,0,0,17,1.649 ,0
1,288,0,2,34,12,3.299,4.62,1936,36,12,8.781,20155,0.692,12,16,11,1,10,19,1.193 ,100
1,1875,0,1,38,13,8.533,8.5,2136,41,12,9.832,37300,0.58,10,12,7.5,1,8,21,2.144 ,64
1,630,0,1,45,11,2.063,0,1955,51,10,6.65,24860,0.721,7,7,7.5,1,2,24,0.724 ,4
1,234,0,1,47,12,2.564,2.5,1980,48,10,9.849,21450,0.661,12,3,7.5,1,4,21,0.942 ,16
1,1600,0,2,39,12,2.188,0,2550,42,11,9.804,29650,0.622,7,7,5,1,6,26,0.783 ,36
1,960,1,0,36,14,6.25,0,2058,37,13,8.26,23000,0.661,7,7,11,1,18,17,1.833 ,324
1,120,1,2,33,12,3.333,0,2263,32,14,9.068,21120,0.692,7,7,9,1,3,21,1.204 ,9
1,2025,0,0,50,12,4.444,4.8,1763,54,13,8.508,26000,0.622,7,12,5,1,22,17,1.492 ,484
1,1809,0,0,58,12,6.634,6.45,2096,59,14,7.156,28000,0.622,3,7,7.5,1,33,16,1.892 ,1089
1,3087,0,0,49,17,8.422,9.98,2059,47,13,7.042,45500,0.52,12,12,11,1,28,20,2.131 ,784
1,910,0,2,41,14,4.396,0,1820,40,17,6.593,16000,0.721,16,12,14,1,23,12,1.481 ,529
1,1840,0,1,51,12,2.446,2.5,2832,53,8,4.346,18232,0.692,7,14,11,0,27,14,0.894 ,729
1,784,0,0,53,9,1.224,2.25,1990,60,10,7.236,28160,0.721,3,7,14,1,11,27,0.203 ,121
1,400,1,2,36,12,1.625,0,2000,40,7,1.74,5965,0.802,12,7,11,1,6,5,0.486 ,36
1,1000,0,2,46,12,3,5.5,1885,46,12,6.897,19000,0.721,7,7,9.5,1,11,16,1.099 ,121
1,1904,0,2,36,12,4.727,4.2,2860,37,12,5.045,36872,0.552,12,12,11,1,14,28,1.553 ,196
1,1771,0,1,53,14,1.129,9.98,1913,48,16,17.25,42000,0.491,12,12,14,1,17,40,0.122 ,289
1,1486,0,3,40,16,7.402,6.25,1800,54,16,8.333,26900,0.622,16,14,11,1,17,16,2.002 ,289
1,740,0,2,42,17,4.459,1.65,2880,45,16,9.375,30800,0.581,12,10,9,0,14,27,1.495 ,196
1,1820,1,1,33,15,2.473,0,1993,32,16,8.279,21520,0.692,12,12,11,1,11,17,0.905 ,121
1,1275,0,3,43,12,1.882,3,2250,47,14,4.5,24795,0.692,7,7,7.5,1,7,22,0.633 ,49
1,450,1,0,31,16,4,4,2286,30,16,4.2,12900,0.721,14,16,14,1,8,11,1.386 ,64
1,1221,0,0,47,17,8.19,5.99,1880,47,16,16.064,42700,0.491,7,7,7.5,1,6,33,2.103 ,36
1,1550,0,0,54,17,7.097,6,2350,58,17,11.277,38800,0.521,10,17,11,1,8,28,1.960 ,64
1,180,1,3,33,12,1.667,0,3640,33,11,0.549,2500,0.942,7,3,3,0,4,2,0.511 ,16
1,2090,0,0,43,16,3.445,3.85,1770,47,14,9.548,26921,0.622,14,10,11,1,25,20,1.237 ,625
1,1960,0,1,46,13,4.235,4.2,1875,49,13,5.333,18300,0.692,7,9,3,0,24,10,1.443 ,576
1,1440,0,3,35,12,2.778,4.1,2200,38,9,5.455,17200,0.721,7,7,14,1,11,13,1.022 ,121
1,794,0,3,37,11,1.889,3.85,2033,39,12,5.903,14209,0.752,12,3,9.5,1,19,13,0.636 ,361
1,993,0,2,37,16,5.035,8.3,2739,39,17,9.858,32300,0.581,12,16,14,1,9,27,1.616 ,81
1,160,0,3,34,14,1.25,0,1626,38,14,11.685,21400,0.721,17,12,7.5,1,19,21,0.223 ,361
1,105,1,0,43,16,2.857,0,2248,44,17,6.228,14700,0.721,7,7,9.5,0,14,14,1.050 ,196
1,1200,0,0,46,12,4.117,4.33,2140,48,12,9.175,25516,0.622,7,7,9.5,1,22,21,1.415 ,484
1,450,0,3,35,9,1.778,2.6,1985,42,12,6.297,13300,0.752,3,7,5,1,6,12,0.575 ,36
1,996,0,0,46,17,13.554,9.98,1528,59,17,10.471,31000,0.581,12,12,9.5,1,23,18,2.607 ,529
1,1052,0,0,46,14,4.563,4.9,1920,48,16,14.583,48800,0.491,7,3,11,1,15,44,1.518 ,225
1,1128,0,2,43,12,2.128,2.4,1918,46,10,6.214,15519,0.721,7,7,14,1,6,13,0.755 ,36
1,1840,0,0,30,12,2.989,3.75,2112,30,12,6.629,19500,0.692,7,7,7.5,0,11,14,1.095 ,121
1,1910,0,2,41,11,2.565,2.57,2144,46,9,3.825,14545,0.721,3,7,5,0,2,10,0.942 ,4
1,980,0,1,54,12,5.612,5,1920,54,15,7.813,22897,0.692,7,7,14,1,22,17,1.725 ,484
1,2317,0,1,31,12,2.805,3.87,2241,41,9,3.481,14300,0.721,10,10,7.5,1,10,8,1.032 ,100
1,1089,0,0,44,10,1.607,0,880,47,11,5.55,14884,0.752,10,10,9.5,1,14,13,0.474 ,196
1,800,0,1,32,12,2.25,0,2070,31,16,11.594,27400,0.622,12,7,11,1,12,26,0.811 ,144
1,1230,0,0,47,5,2.033,2.82,1050,53,5,9.524,16400,0.721,7,12,14,1,9,14,0.709 ,81
1,1158,0,1,46,17,5.532,8.1,2635,57,17,7.28,25704,0.622,14,17,7.5,0,13,19,1.711 ,169
1,2272,0,0,37,11,1.584,3.71,3000,47,8,3,12800,0.721,10,10,7.5,0,18,9,0.460 ,324
1,528,0,2,51,12,3.788,0,2500,50,11,10.4,40000,0.622,7,7,7.5,0,8,38,1.332 ,64
1,1000,0,1,49,12,3,0,1990,49,12,10.05,47000,0.661,7,7,14,1,11,44,1.099 ,121
1,520,0,4,36,14,8.654,0,2390,37,13,8.787,25872,0.661,10,12,9.5,1,9,21,2.158 ,81
1,760,0,1,39,11,4.21,3.95,1430,44,12,10.14,26868,0.692,12,7,9.5,1,9,24,1.438 ,81
1,1920,0,2,48,12,4.688,4.3,1800,50,8,5,18000,0.692,12,12,9.5,1,14,9,1.545 ,196
1,1220,0,2,38,14,4.098,4.84,2103,43,17,11.888,30200,0.581,7,7,5,1,9,25,1.411 ,81
1,200,0,2,40,12,25,3,1350,42,12,13.333,26220,0.661,7,7,7.5,1,2,21,3.219 ,4
1,2480,1,5,39,10,2.633,4.2,2880,36,17,8.681,40500,0.581,7,7,3,0,12,34,0.968 ,144
1,2750,0,0,37,16,6,9,2400,43,17,7.292,33570,0.61,12,7,7.5,1,15,17,1.792 ,225
1,2014,0,1,49,13,5.413,4.05,1135,47,12,3.524,16917,0.721,7,14,14,1,11,6,1.689 ,121
1,1355,0,3,33,12,0.664,1,2750,35,17,6.182,18000,0.721,12,7,9.5,0,7,17,-0.409 ,49
1,80,0,0,30,12,1.25,0,2085,32,16,2.976,8337,0.752,12,12,11,1,9,8,0.223 ,81
1,1670,0,0,54,12,2.275,2.1,2600,56,8,4.577,17100,0.721,12,7,9.5,0,19,13,0.822 ,361
1,520,0,4,39,11,3.461,3.05,3542,40,12,3.106,17800,0.752,10,7,11,0,11,16,1.242 ,121
1,288,0,3,43,12,4.167,3,1975,43,12,5.823,13740,0.752,12,12,14,1,8,13,1.427 ,64
1,2014,0,3,31,9,4.469,4.26,2400,32,12,7.5,27000,0.622,10,3,9.5,1,13,18,1.497 ,169
1,800,0,3,33,13,1.75,0,3000,37,14,8.333,32600,0.622,12,7,7.5,1,4,31,0.560 ,16
1,1984,0,3,40,12,3.669,4.25,1960,39,14,9.235,28030,0.661,12,12,14,1,7,21,1.300 ,49
1,1823,0,1,36,12,6.583,6,2000,39,9,5.5,23100,0.661,12,12,3,0,19,11,1.884 ,361
1,1500,0,0,51,12,2.6,2,3000,51,12,6,24580,0.661,7,7,9.5,1,14,21,0.956 ,196
1,2261,0,1,44,13,4.865,5.5,2400,43,12,6.667,29000,0.622,12,7,9.5,1,14,18,1.582 ,196
1,1728,0,3,42,16,5.787,6.25,2450,48,14,13.061,42430,0.521,12,14,9.5,1,3,32,1.756 ,9
1,1960,0,1,40,12,4.541,5,2423,40,8,12.794,41800,0.521,12,12,7.5,1,9,33,1.513 ,81
1,1578,1,1,34,16,9.506,7.72,2000,33,16,12,39100,0.58,12,17,9.5,1,7,24,2.252 ,49
1,1316,0,0,30,17,10.638,7,2526,41,16,6.73,31800,0.581,16,17,11,1,7,18,2.364 ,49
1,1530,0,0,54,12,1.111,1.13,2695,53,12,6.679,22200,0.692,7,7,14,0,14,21,0.105 ,196
1,2220,0,0,51,12,4.054,4.37,2048,54,12,4.394,19500,0.692,16,7,3,0,29,10,1.400 ,841
1,1336,0,2,44,9,2.687,2.64,1920,46,11,4.688,14027,0.752,7,10,11,0,19,10,0.988 ,361
1,1008,0,1,43,12,2.976,2.5,2338,42,9,7.699,21195,0.661,7,7,11,1,14,18,1.091 ,196
1,1944,0,1,34,12,3.173,3.23,2945,37,8,4.329,19013,0.692,10,7,7.5,0,16,13,1.155 ,256
1,2000,0,0,45,13,3.55,3.45,2047,52,12,6.742,20900,0.661,12,7,11,1,10,14,1.267 ,100
1,258,0,0,39,12,17.907,0,1668,47,7,9.352,26820,0.622,10,3,11,0,12,22,2.885 ,144
1,1785,0,0,50,12,3.417,5.75,175,48,10,9.143,12800,0.752,0,0,14,1,24,7,1.229 ,576
1,480,0,0,52,12,3.333,0,1798,53,12,2.642,7850,0.752,7,7,14,0,6,6,1.204 ,36
1,772,0,2,41,12,3.886,7.5,1222,45,12,7.365,18600,0.721,12,12,7.5,1,9,16,1.357 ,81
1,900,0,0,59,10,2.311,2.22,1820,59,7,1.407,5380,0.771,12,7,5,0,14,3,0.838 ,196
1,1428,0,0,52,12,1.711,2.5,1560,60,8,1.519,6114,0.771,10,7,14,0,26,4,0.537 ,676
1,210,0,0,46,16,2.114,4,2210,49,12,3.344,8234,0.752,12,12,14,0,7,8,0.749 ,49
1,239,1,5,41,12,9.933,4.5,2874,48,16,2.911,20646,0.721,3,7,11,1,4,18,2.296 ,16
1,1878,0,2,33,11,3.028,3.5,2499,35,8,4.383,16640,0.721,7,7,9.5,0,15,11,1.108 ,225
1,215,0,0,45,12,1.86,2.3,3088,38,12,4.21,13900,0.721,12,12,5,1,23,13,0.621 ,529
1,2340,1,2,36,10,0.128,0,2020,37,8,3.713,11500,0.781,10,7,7.5,0,1,11,-2.054 ,1
1,1960,0,1,48,12,6.633,6.3,1980,56,10,10.606,34000,0.552,7,7,14,1,29,21,1.892 ,841
1,532,0,1,47,12,5.639,3.6,1968,47,11,8.638,28700,0.661,7,3,11,1,9,26,1.730 ,81
1,394,0,0,45,12,1.599,2.5,2100,45,12,3.837,9563,0.752,7,7,7.5,0,6,9,0.469 ,36
1,675,0,2,37,12,2.667,3,2651,48,17,7.167,20960,0.692,7,7,7.5,0,11,19,0.981 ,121
1,1515,0,4,46,16,7.921,6.8,1918,49,14,8.863,38590,0.622,12,10,14,1,17,27,2.069 ,289
1,1030,0,3,43,17,5.34,5.8,2585,46,16,7.737,27900,0.661,12,12,5,1,6,22,1.675 ,36
1,1250,0,2,42,12,4,4,2250,46,17,9.17,25633,0.622,7,7,7.5,1,7,21,1.386 ,49
1,1158,1,2,34,17,6.045,5.1,2480,39,17,11.29,35200,0.552,12,12,7.5,1,2,28,1.799 ,4
1,112,0,0,52,12,6.25,0,2924,53,12,6.327,29500,0.581,7,7,7.5,1,24,29,1.833 ,576
1,336,0,3,37,12,2.976,2.2,1896,52,9,4.747,10000,0.752,10,7,7.5,0,4,9,1.091 ,16
1,1984,0,1,37,12,4.234,4.78,2332,40,12,4.889,19800,0.692,10,7,5,0,11,11,1.443 ,121
1,716,0,0,52,8,3.492,2.2,3482,59,7,2.484,12900,0.721,7,7,5,0,25,10,1.250 ,625
1,1410,1,0,30,12,4.964,1.28,2106,30,14,8.547,26080,0.622,12,12,7.5,0,11,19,1.602 ,121
1,1300,0,1,31,13,2.769,0,1160,32,12,6.638,13066,0.752,17,7,11,1,2,9,1.019 ,4
1,1640,0,1,38,12,3.658,3.25,2040,46,12,3.186,12500,0.721,7,7,7.5,0,19,7,1.297 ,361
